"Review","Analysis_group","Analysis_number","Analysis_name","Subgroup","Study","bias_arising_from_the_randomization_process","bias_due_to_deviations_from_intended_interventions","bias_due_to_missing_outcome_data","bias_in_measurement_of_the_outcome","bias_in_selection_of_the_reported_result","overall_bias"
"CD015328",NA,NA,NA,NA,"Martinez-Vizcaino 2022","High risk","Low risk","High risk","Low risk","Low risk","High risk"
"CD015328",NA,NA,NA,NA,"Meng 2013 (Beijing)","High risk","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Meng 2013 (Beijing)","High risk","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Morgan 2011","Low risk","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Morgan 2014","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Morgan 2014","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Morgan 2019","Low risk","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Muller 2016","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Muller 2016","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Muller 2019","High risk","Low risk","High risk","Low risk","Low risk","High risk"
"CD015328",NA,NA,NA,NA,"NCT00224887 2005","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"NCT02067728 2014","High risk","High risk","High risk","Low risk","Low risk","High risk"
"CD015328",NA,NA,NA,NA,"Nemet 2011a","Some concerns","Some concerns","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Nemet 2011a","Some concerns","Some concerns","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Nemet 2011b","Some concerns","Some concerns","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Nemet 2011b","Some concerns","Some concerns","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Nemet 2011b","Some concerns","Some concerns","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Nemet 2011b","Some concerns","Some concerns","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Newton 2014","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Newton 2014","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Newton 2014","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Nicholl 2021","Low risk","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Nicholl 2021","Low risk","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Nicholl 2021","Low risk","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Nollen 2014","Some concerns","Low risk","Some concerns","High risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Nyberg 2015","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Nyberg 2015","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Nyberg 2016","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Nyberg 2016","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"O'Connor 2020","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Paineau 2008","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Paineau 2008","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Pena 2021","High risk","Low risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Pena 2021","High risk","Low risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Puder 2011","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015328",NA,NA,NA,NA,"Ramirez-Rivera 2021","Low risk","Some concerns","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Rerksuppaphol 2017","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Rerksuppaphol 2017","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Rhodes 2019","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Robinson 2003","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Robinson 2010","Some concerns","Low risk","High risk","Low risk","Low risk","High risk"
"CD015328",NA,NA,NA,NA,"Robinson 2010","Some concerns","Low risk","High risk","Low risk","Low risk","High risk"
"CD015328",NA,NA,NA,NA,"Rosario 2012","Low risk","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Rosario 2012","Low risk","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Rosenkranz 2010","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Rosenkranz 2010","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Rosenkranz 2010","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Rush 2012","High risk","Some concerns","High risk","Low risk","Low risk","High risk"
"CD015328",NA,NA,NA,NA,"Sacchetti 2013","Some concerns","Some concerns","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Safdie 2013","Some concerns","Some concerns","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Safdie 2013","Some concerns","Some concerns","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Safdie 2013","Some concerns","Some concerns","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Sahota 2001","Some concerns","Some concerns","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Sahota 2019","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Salmon 2022","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Santos 2014","Low risk","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Seguin-Fawler 2021","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Sekhavat 2014","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Sekhavat 2014","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Sgambato 2019","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Sherwood 2019","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Sherwood 2019","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Sherwood 2019","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Sherwood 2019","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Sichieri 2008","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Siegrist 2013","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Siegrist 2013","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Siegrist 2018","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Simon 2008","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Simon 2008","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Simon 2008","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Spiegel 2006","High risk","Some concerns","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Stettler 2015","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Stettler 2015","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Stolley 1997","Some concerns","Some concerns","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Stolley 1997","Some concerns","Some concerns","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Story 2003","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Story 2012","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Story 2012","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Tanskey 2017","High risk","High risk","Low risk","Low risk","High risk","High risk"
"CD015328",NA,NA,NA,NA,"Tanskey 2017","High risk","High risk","Low risk","Low risk","High risk","High risk"
"CD015328",NA,NA,NA,NA,"Telford 2012","High risk","Some concerns","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Tessier 2008","High risk","Low risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Thivel 2011","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Topham 2021","High risk","Low risk","High risk","Low risk","High risk","High risk"
"CD015328",NA,NA,NA,NA,"van de Berg 2020","High risk","Some concerns","High risk","Low risk","Low risk","High risk"
"CD015328",NA,NA,NA,NA,"Viggiano 2018","High risk","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Viggiano 2018","High risk","Low risk","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Vizcaino 2008","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Wang 2012","High risk","Some concerns","Some concerns","High risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Wang 2018","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Wang 2018","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Wendel 2016","High risk","Some concerns","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Wendel 2016","High risk","Some concerns","Some concerns","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"White 2019","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"White 2019","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"White 2019","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Williamson 2012","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Xu 2015","Some concerns","Low risk","Low risk","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Xu 2015","Some concerns","Low risk","Low risk","Low risk","Low risk","Some concerns"
"CD015328",NA,NA,NA,NA,"Xu 2017 (5 other cities)","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Xu 2017 (5 other cities)","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015328",NA,NA,NA,NA,"Yin 2012","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015328",NA,NA,NA,NA,"Yin 2012","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Amaro 2006","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Andrade 2014","Low risk","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Andrade 2014","Low risk","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Arlinghaus 2021","Some concerns","Some concerns","High risk","Low risk","Some concerns","High risk"
"CD015330",NA,NA,NA,NA,"Bayne-Smith 2004","High risk","Some concerns","Low risk","Low risk","Some concerns","High risk"
"CD015330",NA,NA,NA,NA,"Black 2010","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Black 2010","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Bogart 2016","High risk","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015330",NA,NA,NA,NA,"Bonsergent 2013","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Bonsergent 2013","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Brito Beck da Silva 2019","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Chen 2011","Some concerns","Some concerns","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Dewar 2013","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Dewar 2013","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Dewar 2013","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Dewar 2013","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Dunker 2018","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Ebbeling 2006","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"El Ansari 2010","Some concerns","Some concerns","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Ezendam 2012","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"French 2011","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Gustafson 2019","Some concerns","Low risk","High risk","High risk","Some concerns","High risk"
"CD015330",NA,NA,NA,NA,"Haerens 2006","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015330",NA,NA,NA,NA,"Haerens 2006","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Haerens 2006","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015330",NA,NA,NA,NA,"Haerens 2006","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Harrington 2018","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Harrington 2018","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Hollis 2016","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015330",NA,NA,NA,NA,"Hollis 2016","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015330",NA,NA,NA,NA,"Hollis 2016","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015330",NA,NA,NA,NA,"Hollis 2016","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015330",NA,NA,NA,NA,"Hovell 2018","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015330",NA,NA,NA,NA,"Isensee 2018","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015330",NA,NA,NA,NA,"Jago 2006","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015330",NA,NA,NA,NA,"Jago 2006","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015330",NA,NA,NA,NA,"Kennedy 2018","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015330",NA,NA,NA,NA,"Kennedy 2018","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015330",NA,NA,NA,NA,"Kennedy 2018","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015330",NA,NA,NA,NA,"Kennedy 2018","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk"
"CD015330",NA,NA,NA,NA,"Kuhlemeier 2022","Some concerns","Low risk","High risk","Low risk","Some concerns","High risk"
"CD015330",NA,NA,NA,NA,"Kuroko 2020","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Lappe 2017","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Leme 2018","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Leme 2018","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Leme 2018","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Leme 2018","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Lubans 2021","Some concerns","Low risk","High risk","Low risk","Low risk","High risk"
"CD015330",NA,NA,NA,NA,"Lubans 2021","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Luszczynska 2016b","Some concerns","Some concerns","High risk","Low risk","Some concerns","High risk"
"CD015330",NA,NA,NA,NA,"Melnyk 2013","Some concerns","Low risk","Some concerns","Low risk","High risk","High risk"
"CD015330",NA,NA,NA,NA,"Melnyk 2013","Some concerns","Low risk","Some concerns","Low risk","High risk","High risk"
"CD015330",NA,NA,NA,NA,"Mihas 2010","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"NCT02067728","High risk","High risk","High risk","Low risk","High risk","High risk"
"CD015330",NA,NA,NA,NA,"Neumark-Sztainer 2003","High risk","Some concerns","Some concerns","High risk","Some concerns","High risk"
"CD015330",NA,NA,NA,NA,"Neumark-Sztainer 2010","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Neumark-Sztainer 2010","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Ooi 2021","Low risk","Low risk","High risk","Low risk","Low risk","High risk"
"CD015330",NA,NA,NA,NA,"Papadaki 2010","Some concerns","Low risk","High risk","Low risk","Low risk","High risk"
"CD015330",NA,NA,NA,NA,"Papadaki 2010","Some concerns","Low risk","High risk","Low risk","Low risk","High risk"
"CD015330",NA,NA,NA,NA,"Pate 2005","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Peralta 2009","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Pfeiffer 2019","Low risk","Low risk","High risk","Low risk","Low risk","High risk"
"CD015330",NA,NA,NA,NA,"Prins 2012","Low risk","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Reesor 2019","High risk","Some concerns","High risk","Low risk","Some concerns","High risk"
"CD015330",NA,NA,NA,NA,"Reesor 2019","High risk","Some concerns","High risk","Low risk","Some concerns","High risk"
"CD015330",NA,NA,NA,NA,"Rodearmel 2006","High risk","Some concerns","High risk","Low risk","Some concerns","High risk"
"CD015330",NA,NA,NA,NA,"Schreier 2013","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Shin 2015","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Shomaker 2019","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Shomaker 2019","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Shomaker 2019","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Shomaker 2019","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Shomaker 2019","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Shomaker 2019","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Simons 2015","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Simons 2015","Some concerns","Low risk","Low risk","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Singh 2009","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Singh 2009","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Singh 2009","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Smith 2014","Low risk","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Takacs 2020","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Velez 2010","Some concerns","Some concerns","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Viggiano 2015","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Viggiano 2015","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Weeks 2012","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Whittemore 2013","Some concerns","Low risk","Low risk","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Wieland 2018","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Wieland 2018","Some concerns","Low risk","Some concerns","Low risk","Low risk","Some concerns"
"CD015330",NA,NA,NA,NA,"Wilksch 2015","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
"CD015330",NA,NA,NA,NA,"Wilksch 2015","Some concerns","Low risk","Some concerns","Low risk","Some concerns","Some concerns"
