"outcome","label","filename"
"Assisted vaginal birth","secondary","14651858.CD000331.pub4"
"Caesarean section","secondary","14651858.CD000331.pub4"
"Long-term backache","primary","14651858.CD000331.pub4"
"Hypotension as defined by trial authors","primary","14651858.CD000331.pub4"
"Postnatal depression (authors definition, on medication, or self-reported)","primary","14651858.CD000331.pub4"
"Motor blockade","primary","14651858.CD000331.pub4"
"Respiratory depression requiring oxygen administration","primary","14651858.CD000331.pub4"
"Headache","primary","14651858.CD000331.pub4"
"Perineal trauma requiring suturing","primary","14651858.CD000331.pub4"
"Nausea and vomiting","primary","14651858.CD000331.pub4"
"Itch","primary","14651858.CD000331.pub4"
"Fever > 38 Ao C","primary","14651858.CD000331.pub4"
"Shivering","primary","14651858.CD000331.pub4"
"Drowsiness","primary","14651858.CD000331.pub4"
"Urinary retention","primary","14651858.CD000331.pub4"
"Catheterisation during labour","primary","14651858.CD000331.pub4"
"Malposition","primary","14651858.CD000331.pub4"
"Surgical amniotomy","primary","14651858.CD000331.pub4"
"Acidosis defined by cord arterial pH < 7.2 at delivery","primary","14651858.CD000331.pub4"
"Acidosis defined by cord arterial pH < 7.15","primary","14651858.CD000331.pub4"
"Naloxone administration","primary","14651858.CD000331.pub4"
"Meconium staining of liquor","primary","14651858.CD000331.pub4"
"Neonatal intensive care unit admission","primary","14651858.CD000331.pub4"
"Apgar score less than 7 at 5 minutes","primary","14651858.CD000331.pub4"
"Length of first stage of labour (minutes)","secondary","14651858.CD000331.pub4"
"Length of second stage of labour (minutes)","secondary","14651858.CD000331.pub4"
"Oxytocin augmentation","secondary","14651858.CD000331.pub4"
"Caesarean section for fetal distress","secondary","14651858.CD000331.pub4"
"Caesarean section for dystocia","secondary","14651858.CD000331.pub4"
"Sensitivity analysis - allocation concealment: Maternal satisfaction with pain relief in labour - proportion rating excellent or very good","secondary","14651858.CD000331.pub4"
"Sensitivity analysis - incomplete outcome data: Maternal satisfaction with pain relief in labour - proportion rating excellent or very good","secondary","14651858.CD000331.pub4"
"Sensitivity analysis - allocation concealment: Need for additional means of pain relief","secondary","14651858.CD000331.pub4"
"Sensitivity analysis - incomplete outcome data: Need for additional means of pain relief","secondary","14651858.CD000331.pub4"
"Pain intensity","primary","14651858.CD000331.pub4"
"Instrumental delivery","secondary","14651858.CD000331.pub4"
"Maternal pain score in labour","secondary","14651858.CD000331.pub4"
"Maternal satisfaction with pain relief in labour - proportion rating excellent or very good","secondary","14651858.CD000331.pub4"
"Cathetherisation during labour","primary","14651858.CD000331.pub4"
"Growth - weight","primary","14651858.CD000341.pub3"
"Growth - length","primary","14651858.CD000341.pub3"
"Growth - head circumference","primary","14651858.CD000341.pub3"
"Feeding intolerance","secondary","14651858.CD000341.pub3"
"Weight gain (g/kg/d)","primary","14651858.CD000343.pub4"
"Length gain (cm/week)","primary","14651858.CD000343.pub4"
"Head growth (cm/week)","primary","14651858.CD000343.pub4"
"Weight at 12 to 18 months (kg)","primary","14651858.CD000343.pub4"
"Length at 12 to 18 months (cm)","primary","14651858.CD000343.pub4"
"Head circumference at 12 to 18 months (cm)","primary","14651858.CD000343.pub4"
"Mental development index at 18 months","primary","14651858.CD000343.pub4"
"Psychomotor development index at 18 months","primary","14651858.CD000343.pub4"
"Length of hospital stay (weeks)","secondary","14651858.CD000343.pub4"
"Feed intolerance","secondary","14651858.CD000343.pub4"
"Necrotising enterocolitis","secondary","14651858.CD000343.pub4"
"Serum ALP (IU/L): restricted to trials without mineral supplementation of the control group","secondary","14651858.CD000343.pub4"
"Bone mineral content (mg/cm): restricted to trials without mineral supplementation of the control group","secondary","14651858.CD000343.pub4"
"Caesarean section","primary","14651858.CD000352.pub3"
"Baby not breastfed","primary","14651858.CD000352.pub3"
"Other (non-epidural) medical pain relief","secondary","14651858.CD000352.pub3"
"Assisted vaginal birth","secondary","14651858.CD000352.pub3"
"Perineal suturesA ","secondary","14651858.CD000352.pub3"
"Mother disappointed about allocation","secondary","14651858.CD000352.pub3"
"Father did not state that he was relieved","secondary","14651858.CD000352.pub3"
"Pregnancy rate per couple (all cycles)","secondary","14651858.CD000360.pub5"
"Live birth rate per couple (all cycles)","primary","14651858.CD000360.pub5"
"OHSS per couple","primary","14651858.CD000360.pub5"
"Multiple pregnancy rate per couple","secondary","14651858.CD000360.pub5"
"Miscarriage rate per couple","secondary","14651858.CD000360.pub5"
"Sepsis, one or more episodes","primary","14651858.CD000361.pub4"
"Any serious infection, one or more episodes","secondary","14651858.CD000361.pub4"
"NEC, one or more episodes","secondary","14651858.CD000361.pub4"
"Mortality (all causes)","secondary","14651858.CD000361.pub4"
"Mortality (infectious)","secondary","14651858.CD000361.pub4"
"Duration of hospitalisation","secondary","14651858.CD000361.pub4"
"Bronchopulmonary dysplasia","secondary","14651858.CD000361.pub4"
"Intraventricular haemorrhage any grade","secondary","14651858.CD000361.pub4"
"Intraventricular haemorrhage grade 3 or 4","secondary","14651858.CD000361.pub4"
"Child mortality from all causes","primary","14651858.CD000363.pub3"
"P falciparum uncomplicated episodes","secondary","14651858.CD000363.pub3"
"P falciparum uncomplicated episodes (cumulative incidence)","secondary","14651858.CD000363.pub3"
"P vivax uncomplicated episodes (cumulative incidence)","secondary","14651858.CD000363.pub3"
" Any Plasmodium spp. uncomplicated episodes","secondary","14651858.CD000363.pub3"
"P falciparum prevalence","secondary","14651858.CD000363.pub3"
"P vivax prevalence","secondary","14651858.CD000363.pub3"
"Severe malaria episodes","secondary","14651858.CD000363.pub3"
"Anaemia (mean packed cell volume)","secondary","14651858.CD000363.pub3"
"P vivax uncomplicated episodes","secondary","14651858.CD000363.pub3"
" Any Plasmodium spp. uncomplicated episodes (cumulative incidence)","secondary","14651858.CD000363.pub3"
" Any Plasmodium spp. prevalence","secondary","14651858.CD000363.pub3"
"Neonatal death (age < 28 days)","primary","14651858.CD000366.pub4"
"Infant death (age < one year)","primary","14651858.CD000366.pub4"
"BPD (supplementary oxygen ar 36 weeks; PMA or death due to BPD)at 36 week's PMA","secondary","14651858.CD000366.pub4"
"Bronchopulmonary dysplasia (at 28 to 30 days of age)","secondary","14651858.CD000366.pub4"
"Bronchopulmonary dysplasia (at 36 to 38 weeks PMA)","secondary","14651858.CD000366.pub4"
"Retinopathy of prematurity, stage a%%Yen 3 or a%%Yen 2","secondary","14651858.CD000366.pub4"
"Retinopathy of prematurity, any stage","secondary","14651858.CD000366.pub4"
"Necrotizing enterocolitis (suspected or proven)","secondary","14651858.CD000366.pub4"
"Sepsis (early and/or late onset)","secondary","14651858.CD000366.pub4"
"Intraventricular haemorrhage, grade > 2","secondary","14651858.CD000366.pub4"
"Intraventricular haemorrhage, all grades","secondary","14651858.CD000366.pub4"
"Minor neural developmental impairment at one year corrected age","secondary","14651858.CD000366.pub4"
"Major neural developmental impairment at one year corrected age","secondary","14651858.CD000366.pub4"
"Death during hospital stay","primary","14651858.CD000366.pub4"
"Bronchopulmonary dysplasia at 36 weeks PMA","secondary","14651858.CD000366.pub4"
"Retinopathy of prematurity (infants who underwent surgery for ROP)","secondary","14651858.CD000366.pub4"
"Necrotizing enterocolitis (stage 2A or worse)","secondary","14651858.CD000366.pub4"
"Necrotizing enterocolitis (infants who underwent surgery for NEC)","secondary","14651858.CD000366.pub4"
"Sepsis (late onset)","secondary","14651858.CD000366.pub4"
"Intraventricular haemorrhage (grade 3 or 4)","secondary","14651858.CD000366.pub4"
"Hearing test (failed both ears)","secondary","14651858.CD000366.pub4"
"Type 1 ROP or death before determination of ROP outcome using the adjudicated ROP outcome","primary","14651858.CD000366.pub4"
"Type 1 ROP","secondary","14651858.CD000366.pub4"
"Death before determination of ROP outcome","primary","14651858.CD000366.pub4"
"Type 1 ROP including adjudicated ROP outcome","secondary","14651858.CD000366.pub4"
"Any ROP","secondary","14651858.CD000366.pub4"
"ROP a%%Yen 2 ROP","secondary","14651858.CD000366.pub4"
"All cause infant mortality to 55 week's PMA","primary","14651858.CD000366.pub4"
"All cause mortality (outcome collected through first event: death, hospital discharge, hospital transfer, or 120 days after birth)","primary","14651858.CD000366.pub4"
"BPD (requiring oxygen at 36 week's PMA for oxygen saturation > 90%)","secondary","14651858.CD000366.pub4"
"BPD or death by it prior to 37 weeks' PMA (outcomes collected through first event: death, hospital discharge, hospital transfer, or 120 days after birth)","primary","14651858.CD000366.pub4"
"Severe IVH (grade 3 or 4)","secondary","14651858.CD000366.pub4"
"Cystic areas in the cerebral parenchyma measured through 28 d","secondary","14651858.CD000366.pub4"
"Early onset sepsis","secondary","14651858.CD000366.pub4"
"Late onset sepsis (> 72 hrs of age)","secondary","14651858.CD000366.pub4"
"Suspected or proven NEC","secondary","14651858.CD000366.pub4"
"Surgical NEC","secondary","14651858.CD000366.pub4"
"Spontaneous gastro-intestinal perforation","secondary","14651858.CD000366.pub4"
"Pulmonary haemorrhage","secondary","14651858.CD000366.pub4"
"PDA","secondary","14651858.CD000366.pub4"
"PDA requiring indomethacin","secondary","14651858.CD000366.pub4"
"PDA requiring surgery","secondary","14651858.CD000366.pub4"
"Seizure treatment for a%%Yen 2 days","secondary","14651858.CD000366.pub4"
"Negative hearing screening in either ear at discharge","secondary","14651858.CD000366.pub4"
"Respiratory distress syndrome","secondary","14651858.CD000366.pub4"
"Sepsis, necrotizing enterocolitis, pneumonia or other infection as a cause of death","primary","14651858.CD000366.pub4"
"Weight (kg)","primary","14651858.CD000371.pub7"
"Height (cm)","primary","14651858.CD000371.pub7"
"Mid-upper arm circumference (cm)","secondary","14651858.CD000371.pub7"
"Triceps skin fold thickness (mm)","secondary","14651858.CD000371.pub7"
"Subscapular skin fold thickness (mm)","secondary","14651858.CD000371.pub7"
"Body mass index","secondary","14651858.CD000371.pub7"
"Haemoglobin (g/dL)","primary","14651858.CD000371.pub7"
"School attendance (days present at school)","secondary","14651858.CD000371.pub7"
"Death - 2 years follow-up","secondary","14651858.CD000384.pub3"
"Mental state: Not improved","secondary","14651858.CD000384.pub3"
"Service outcomes: 1a. Readmission to hospital (homogeneous studies)","secondary","14651858.CD000384.pub3"
"Service outcomes: 1b. Readmission to hospital - Burhan 1969 only","secondary","14651858.CD000384.pub3"
"Service outcomes: 1c. Readmission to hospital - due to parasuicide","secondary","14651858.CD000384.pub3"
"Service outcomes: 3. Leaving hospital prematurely - by 2 years","secondary","14651858.CD000384.pub3"
"Service outcomes: 4. Discharge delayed beyond the time planned in study - 2-year data","secondary","14651858.CD000384.pub3"
"Service outcomes: 5. Day care - by 1 year","secondary","14651858.CD000384.pub3"
"Behaviour: violent incidents to self","secondary","14651858.CD000384.pub3"
"Leaving the study early","secondary","14651858.CD000384.pub3"
"General functioning: 1. Unemployed, unable to housekeep or unknown employment status - by 2 years","secondary","14651858.CD000384.pub3"
"General functioning: 2. Work attendance (high = better)","secondary","14651858.CD000384.pub3"
"Death or dependency (mRS>2), end of trial","primary","14651858.CD000398.pub2"
"Death or dependency (mRS>2), end of trial, by stroke type","primary","14651858.CD000398.pub2"
"Death or dependency (mRS>2), end of trial, by time to randomisation","primary","14651858.CD000398.pub2"
"Death or dependency (mRS>2), end of trial, by baseline SBP","primary","14651858.CD000398.pub2"
"Death or dependency (mean mRS), end of trial","primary","14651858.CD000398.pub2"
"Death or dependency (mean mRS), end of trial, by stroke type","primary","14651858.CD000398.pub2"
"Death or dependency (mean mRS), end of trial, by time to randomisation","primary","14651858.CD000398.pub2"
"Death or dependency (mean mRS), end of trial, by baseline SBP","primary","14651858.CD000398.pub2"
"Death, end of treatment","secondary","14651858.CD000398.pub2"
"Death, end of treatment, by stroke type","secondary","14651858.CD000398.pub2"
"Death, end of treatment, by time to randomisation","secondary","14651858.CD000398.pub2"
"Death, end of treatment, by baseline SBP","secondary","14651858.CD000398.pub2"
"Death, end of trial","primary","14651858.CD000398.pub2"
"Death, end of trial, by stroke type","primary","14651858.CD000398.pub2"
"Death, end of trial, by time to randomisation","primary","14651858.CD000398.pub2"
"Death, end of trial, by baseline SBP","secondary","14651858.CD000398.pub2"
"Neurological deterioration, end of treatment","secondary","14651858.CD000398.pub2"
"Neurological deterioration, end of treatment, by stroke type","secondary","14651858.CD000398.pub2"
"Neurological deterioration, end of treatment, by time to randomisation","secondary","14651858.CD000398.pub2"
"Neurological deterioration, end of treatment, by baseline SBP","secondary","14651858.CD000398.pub2"
"NIH Stroke Scale, end of treatment","secondary","14651858.CD000398.pub2"
"NIH Stroke Scale, end of treatment, by stroke type","secondary","14651858.CD000398.pub2"
"NIH Stroke Scale, end of treatment, by time to randomisation","secondary","14651858.CD000398.pub2"
"NIH Stroke Scale, end of treatment, by baseline SBP","secondary","14651858.CD000398.pub2"
"Barthel Index, end of trial","secondary","14651858.CD000398.pub2"
"Barthel Index, end of trial, by stroke type","secondary","14651858.CD000398.pub2"
"Barthel Index, end of trial, by time to randomisation","secondary","14651858.CD000398.pub2"
"Barthel Index, end of trial, by baseline SBP","secondary","14651858.CD000398.pub2"
"Mood (Zung), end of trial","secondary","14651858.CD000398.pub2"
"Mood (Zung), end of trial, by stroke type","secondary","14651858.CD000398.pub2"
"Mood (Zung), end of trial, by time to randomisation","secondary","14651858.CD000398.pub2"
"Mood (Zung), end of trial, by baseline SBP","secondary","14651858.CD000398.pub2"
"EQ5D-3L, end of trial","secondary","14651858.CD000398.pub2"
"EQ5D-3L, end of trial, by stroke type","secondary","14651858.CD000398.pub2"
"EQ5D-3L, end of trial, by time to randomisation","secondary","14651858.CD000398.pub2"
"EQ5D-3L, end of trial, by baseline SBP","secondary","14651858.CD000398.pub2"
"EQ VAS, end of trial","secondary","14651858.CD000398.pub2"
"EQ VAS, end of trial, by stroke type","secondary","14651858.CD000398.pub2"
"EQ VAS, end of trial, by time to randomisation","secondary","14651858.CD000398.pub2"
"EQ VAS, end of trial, by baseline SBP","secondary","14651858.CD000398.pub2"
"t-MMSE, end of trial","secondary","14651858.CD000398.pub2"
"t-MMSE, end of trial, by stroke type","secondary","14651858.CD000398.pub2"
"t-MMSE, end of trial, by time to randomisation","secondary","14651858.CD000398.pub2"
"t-MMSE, end of trial, by baseline SBP","secondary","14651858.CD000398.pub2"
"TICS, end of trial","secondary","14651858.CD000398.pub2"
"TICS, end of trial, by stroke type","secondary","14651858.CD000398.pub2"
"TICS, end of trial, by time to randomisation","secondary","14651858.CD000398.pub2"
"TICS, end of trial, by baseline SBP","secondary","14651858.CD000398.pub2"
"Animal naming, end of trial","secondary","14651858.CD000398.pub2"
"Animal naming, end of trial, by stroke type","secondary","14651858.CD000398.pub2"
"Animal naming, end of trial, by time to randomisation","secondary","14651858.CD000398.pub2"
"Animal naming, end of trial, by baseline SBP","secondary","14651858.CD000398.pub2"
"Physiotherapy","secondary","14651858.CD000398.pub2"
"Physiotherapy, by stroke type","secondary","14651858.CD000398.pub2"
"Physiotherapy, by time to randomisation","secondary","14651858.CD000398.pub2"
"Physiotherapy, by baseline SBP","secondary","14651858.CD000398.pub2"
"Occupational therapy","secondary","14651858.CD000398.pub2"
"Occupational therapy, by stroke type","secondary","14651858.CD000398.pub2"
"Occupational therapy, by time to randomisation","secondary","14651858.CD000398.pub2"
"Occupational therapy, by baseline SBP","secondary","14651858.CD000398.pub2"
"Speech and language therapy","secondary","14651858.CD000398.pub2"
"Speech and language therapy, by stroke type","secondary","14651858.CD000398.pub2"
"Speech and language therapy, by time to randomisation","secondary","14651858.CD000398.pub2"
"Speech and language therapy, by baseline SBP","secondary","14651858.CD000398.pub2"
"Feeding route (non-oral feeding at day 7)","secondary","14651858.CD000398.pub2"
"Feeding route (non-oral feeding at day 7), by stroke type","secondary","14651858.CD000398.pub2"
"Feeding route (non-oral feeding at day 7), by time to randomisation","secondary","14651858.CD000398.pub2"
"Feeding route (non-oral feeding at day 7), by baseline SBP","secondary","14651858.CD000398.pub2"
"Length of stay","secondary","14651858.CD000398.pub2"
"Length of stay, by stroke type","secondary","14651858.CD000398.pub2"
"Length of stay by time, to randomisation","secondary","14651858.CD000398.pub2"
"Length of stay, by baseline SBP","secondary","14651858.CD000398.pub2"
"Headache, on treatment","secondary","14651858.CD000398.pub2"
"Headache, on treatment, by stroke type","secondary","14651858.CD000398.pub2"
"Headache, on treatment, by time to randomisation","secondary","14651858.CD000398.pub2"
"Headache, on treatment, by baseline SBP","secondary","14651858.CD000398.pub2"
"Treatment stopped early","secondary","14651858.CD000398.pub2"
"Treatment stopped early, by stroke type","secondary","14651858.CD000398.pub2"
"Treatment stopped early, by time to randomisation","secondary","14651858.CD000398.pub2"
"Treatment stopped early, by baseline SBP","secondary","14651858.CD000398.pub2"
"Systolic BP, first treatment measurement","secondary","14651858.CD000398.pub2"
"Systolic BP, first treatment measurement, by stroke type","secondary","14651858.CD000398.pub2"
"Systolic BP, first treatment measurement, by time to randomisation","secondary","14651858.CD000398.pub2"
"Diastolic BP, first treatment measurement","secondary","14651858.CD000398.pub2"
"Diastolic BP, first treatment measurement, by stroke type","secondary","14651858.CD000398.pub2"
"Diastolic BP, first treatment measurement, by time to randomisation","secondary","14651858.CD000398.pub2"
"Heart rate, first treatment measurement","secondary","14651858.CD000398.pub2"
"Heart rate, first treatment measurement, by stroke type","secondary","14651858.CD000398.pub2"
"Heart rate, first treatment measurement, by time to randomisation","secondary","14651858.CD000398.pub2"
"Death or use of ECMO","primary","14651858.CD000399.pub3"
"Death before hospital discharge","primary","14651858.CD000399.pub3"
"Use of ECMO before hospital discharge","primary","14651858.CD000399.pub3"
" Failure to improve oxygenation (PaO2)","secondary","14651858.CD000399.pub3"
"Oxygenation index 30 to 60 minutes after treatment","secondary","14651858.CD000399.pub3"
" PaO2 30 to 60 minutes after treatment","secondary","14651858.CD000399.pub3"
"Change in oxygenation index after treatment","secondary","14651858.CD000399.pub3"
" Change in PaO2 after treatment","secondary","14651858.CD000399.pub3"
"Neurodevelopmental disability at 18 to 24 months among survivors","secondary","14651858.CD000399.pub3"
"Hearing impairment in at least 1 ear among survivors","secondary","14651858.CD000399.pub3"
"Cerebral palsy among survivors","secondary","14651858.CD000399.pub3"
"BSID MDI > 2 SD below the mean","secondary","14651858.CD000399.pub3"
"BSID PDI > 2 SD below the mean","secondary","14651858.CD000399.pub3"
"Progression to severe disease criteria","secondary","14651858.CD000399.pub3"
"Chronic lung disease","secondary","14651858.CD000399.pub3"
"Hearing impairment among survivors","secondary","14651858.CD000399.pub3"
"Absolute change in per cent predicted FEV1","primary","14651858.CD000407.pub4"
"Absolute change in per cent predicted FVC","primary","14651858.CD000407.pub4"
"Growth retardation (at 4 years)","secondary","14651858.CD000407.pub4"
"Height at age over 18 years (boys)","secondary","14651858.CD000407.pub4"
"Height at over 18 years (girls)","secondary","14651858.CD000407.pub4"
"Absolute change in weight (kg)","secondary","14651858.CD000407.pub4"
"Weight at over 18 years (boys)","secondary","14651858.CD000407.pub4"
"Weight at over 18 years (girls)","secondary","14651858.CD000407.pub4"
"Adverse events","secondary","14651858.CD000407.pub4"
"Mortality","secondary","14651858.CD000407.pub4"
"Functional communication","primary","14651858.CD000425.pub4"
"Receptive language: auditory comprehension","secondary","14651858.CD000425.pub4"
"Receptive language: reading comprehension","secondary","14651858.CD000425.pub4"
"Receptive language: other","secondary","14651858.CD000425.pub4"
"Expressive language: naming","secondary","14651858.CD000425.pub4"
"Expressive language: general","secondary","14651858.CD000425.pub4"
"Expressive language: written","secondary","14651858.CD000425.pub4"
"Expressive language: written copying","secondary","14651858.CD000425.pub4"
"Expressive language: repetition","secondary","14651858.CD000425.pub4"
"Expressive language: fluency","secondary","14651858.CD000425.pub4"
"Severity of impairment: Aphasia Battery Score (+ PICA)","secondary","14651858.CD000425.pub4"
"Mood: MAACL","secondary","14651858.CD000425.pub4"
"Economic outcomes","secondary","14651858.CD000425.pub4"
"Number of dropouts (any reason)","secondary","14651858.CD000425.pub4"
"Adherence to allocated intervention","secondary","14651858.CD000425.pub4"
"Severity of impairment: Aphasia Battery Score","secondary","14651858.CD000425.pub4"
"Expressive language:naming","secondary","14651858.CD000425.pub4"
"Expressive language: sentences","secondary","14651858.CD000425.pub4"
"Expressive language: picture description","secondary","14651858.CD000425.pub4"
"Expressive language: overall spoken","secondary","14651858.CD000425.pub4"
"Psychosocial impact","secondary","14651858.CD000425.pub4"
"Number of dropouts for any reason","secondary","14651858.CD000425.pub4"
"Mood","secondary","14651858.CD000425.pub4"
"Expressive language: single words (6 week follow-up)","secondary","14651858.CD000425.pub4"
"Receptive language","secondary","14651858.CD000425.pub4"
"Expressive language","secondary","14651858.CD000425.pub4"
"Receptive language: auditory comprehension (change from baseline)","secondary","14651858.CD000425.pub4"
"Expressive language: spoken (change from baseline)","secondary","14651858.CD000425.pub4"
"Expressive language: written (change from baseline)","secondary","14651858.CD000425.pub4"
"Severity of impairment","secondary","14651858.CD000425.pub4"
"Functional communication (follow-up)","primary","14651858.CD000425.pub4"
"Receptive language: comprehension (50 week follow-up)","secondary","14651858.CD000425.pub4"
"Receptive language: comprehension (62 week follow-up)","secondary","14651858.CD000425.pub4"
"Expressive language: 50 and 62 weeks follow-up","secondary","14651858.CD000425.pub4"
"Depression","secondary","14651858.CD000425.pub4"
"Severity of impairment: Aphasia Battery Score (follow-up)","secondary","14651858.CD000425.pub4"
"Quality of life","secondary","14651858.CD000425.pub4"
"Expressive language: spoken","secondary","14651858.CD000425.pub4"
"Functional communication (6 weeks)","primary","14651858.CD000425.pub4"
"Expressive language: naming (6 weeks)","secondary","14651858.CD000425.pub4"
"Expressive language: (follow-up)","secondary","14651858.CD000425.pub4"
"Receptive language: reading","secondary","14651858.CD000425.pub4"
"Receptive language: word comprehension","secondary","14651858.CD000425.pub4"
"Expressive language: spoken sentence","secondary","14651858.CD000425.pub4"
"Expressive language: naming (follow-up)","secondary","14651858.CD000425.pub4"
"Expressive language: treated items","secondary","14651858.CD000425.pub4"
"Receptive language: other auditory comprehension","secondary","14651858.CD000425.pub4"
"Receptive language: auditory comprehension (treated items)","secondary","14651858.CD000425.pub4"
"Growth: weight","primary","14651858.CD000433.pub3"
"Growth: length","primary","14651858.CD000433.pub3"
"Growth: head circumference","primary","14651858.CD000433.pub3"
"Growth: skin fold thickness","primary","14651858.CD000433.pub3"
"Duration of hospital stay (days)","secondary","14651858.CD000433.pub3"
"Feeding intolerance","secondary","14651858.CD000433.pub3"
"Necrotising enterocolitis","secondary","14651858.CD000433.pub3"
"Blood urea (mmol/L)","secondary","14651858.CD000433.pub3"
"Serum albumin (g/L)","secondary","14651858.CD000433.pub3"
"Overall mortality","primary","14651858.CD000437.pub3"
"Mortality before cross-over","primary","14651858.CD000437.pub3"
"CLD at 28 to 30 days in survivors","primary","14651858.CD000437.pub3"
"Pulmonary air leak (new)","secondary","14651858.CD000437.pub3"
"Severe IVH (grades 3 and 4)","secondary","14651858.CD000437.pub3"
"Necrotising tracheobronchitis at autopsy","secondary","14651858.CD000437.pub3"
"Airway obstruction","secondary","14651858.CD000437.pub3"
"Death","primary","14651858.CD000443.pub4"
"Death or requiring institutional care","primary","14651858.CD000443.pub4"
"Death or dependency","primary","14651858.CD000443.pub4"
"Activities of daily living (Barthel ADL) score","secondary","14651858.CD000443.pub4"
"Extended activities of daily living (EADL) score","secondary","14651858.CD000443.pub4"
"Subjective health status","secondary","14651858.CD000443.pub4"
"Mood status","secondary","14651858.CD000443.pub4"
"Satisfaction with services","secondary","14651858.CD000443.pub4"
"Death or dependency: within 6 months","primary","14651858.CD000443.pub4"
"Death or dependency: at 6 to 12 months","primary","14651858.CD000443.pub4"
"Death or dependency: within 5 years","primary","14651858.CD000443.pub4"
"Length of initial hospital stay (days)","primary","14651858.CD000443.pub4"
"Readmission to hospital","primary","14651858.CD000443.pub4"
"Length of stay (days)","primary","14651858.CD000443.pub4"
"Spontaneous onset of labour","primary","14651858.CD000451.pub3"
"Induction of labour","primary","14651858.CD000451.pub3"
"Caesarean section","primary","14651858.CD000451.pub3"
"Spontaneous vaginal birth","primary","14651858.CD000451.pub3"
"Maternal death or serious morbidity","primary","14651858.CD000451.pub3"
"Neonatal death or serious neonatal perinatal morbidity","primary","14651858.CD000451.pub3"
"Instrumental vaginal birth","secondary","14651858.CD000451.pub3"
"Epidural analgesia","secondary","14651858.CD000451.pub3"
"Postpartum haemorrhage","secondary","14651858.CD000451.pub3"
"Augmentation of labour","secondary","14651858.CD000451.pub3"
"Apgar score less than seven at five minutes","secondary","14651858.CD000451.pub3"
"Spontaneous onset of labour-sensitivity analysis","primary","14651858.CD000451.pub3"
"Induction of labour- sensitivity analysis","primary","14651858.CD000451.pub3"
"Caesarean section-sensitivity analysis","primary","14651858.CD000451.pub3"
"Spontaneous vaginal birth-sensitivity analysis","primary","14651858.CD000451.pub3"
"Maternal death or serious morbidity - sensitivity analysis","primary","14651858.CD000451.pub3"
"Neonatal death or serious neonatal perinatal morbidity - sensitivity analysis","primary","14651858.CD000451.pub3"
"Tardive dyskinesia: 1. No clinically important improvement - short term","primary","14651858.CD000458.pub3"
"Tardive dyskinesia: 2. Not any improvement","secondary","14651858.CD000458.pub3"
"Tardive dyskinesia: 3. Deterioration - short term","secondary","14651858.CD000458.pub3"
"Acceptability of treatment: Leaving the study early - medium term","secondary","14651858.CD000458.pub3"
"Quality of life: No improvement - medium term","secondary","14651858.CD000458.pub3"
"Tardive dyskinesia: 2. Not any improvement - short term","secondary","14651858.CD000458.pub3"
"Tardive dyskinesia: 1. No clinically important improvement","primary","14651858.CD000458.pub3"
"Tardive dyskinesia: 3. Deterioration","secondary","14651858.CD000458.pub3"
"Mental state: Deterioration - medium term","secondary","14651858.CD000458.pub3"
"Acceptability of treatment: Leaving the study early","secondary","14651858.CD000458.pub3"
"Tardive dyskinesia: 1. No clinically important improvement - medium term","primary","14651858.CD000458.pub3"
"Tardive dyskinesia: 2. Not any improvement - medium term","secondary","14651858.CD000458.pub3"
"Tardive dyskinesia: 3. Deterioration - medium term","secondary","14651858.CD000458.pub3"
"Tardive dyskinesia: no clinically important improvement (long term)","primary","14651858.CD000459.pub3"
"Tardive dyskinesia: no improvement (long term)","primary","14651858.CD000459.pub3"
"Tardive dyskinesia: deterioration (long term)","secondary","14651858.CD000459.pub3"
"General mental state: relapse (long term)","secondary","14651858.CD000459.pub3"
"Acceptability of the treatment: leaving the study early (long term)","secondary","14651858.CD000459.pub3"
"Tardive dyskinesia: no clinically important improvement (medium term)","primary","14651858.CD000459.pub3"
"Tardive dyskinesia: average endpoint score (AIMS, high = poor) (medium term)","secondary","14651858.CD000459.pub3"
"General mental state: average endpoint score (BPRS, high = poor) (medium term)","secondary","14651858.CD000459.pub3"
"Acceptability of the treatment: leaving the study early (medium term)","secondary","14651858.CD000459.pub3"
"Adverse effects: use of antiparkinsonism drugs (medium term)","secondary","14651858.CD000459.pub3"
"Adverse effects: parkinsonism - average endpoint score (ESRS) (medium term)","secondary","14651858.CD000459.pub3"
"Adverse effects: dystonia - average endpoint score (ESRS) (medium term)","secondary","14651858.CD000459.pub3"
"Tardive dyskinesia: no clinically important improvement","primary","14651858.CD000459.pub3"
"Tardive dyskinesia: not any improvement (short term)","secondary","14651858.CD000459.pub3"
"Tardive dyskinesia: deterioration (short term)","secondary","14651858.CD000459.pub3"
"Tardive dyskinesia: average endpoint score (various scales)","secondary","14651858.CD000459.pub3"
"Tardive dyskinesia: average change score (AIMS, low = better) (medium term)","secondary","14651858.CD000459.pub3"
"General mental state: deterioration","secondary","14651858.CD000459.pub3"
"General mental state: average endpoint score (PANSS-general psychopathology, low = better) (long term)","secondary","14651858.CD000459.pub3"
"General mental state: average change score (BPRS, low = better) (medium term)","secondary","14651858.CD000459.pub3"
"Acceptability of the treatment: leaving the study early (short term)","secondary","14651858.CD000459.pub3"
"Adverse events: extrapyramidal symptoms (need of antiparkinsonism drugs)","secondary","14651858.CD000459.pub3"
